"team","group_team","opp_team","group_opp_team","match_num_quarter","simulation"
"Argentina","5","Switzerland","7","2","47"
"Brazil","1","France","4","3","47"
"Japan","5","Netherlands","8","4","47"
"Belgium","1","Mexico","3","1","48"
"Japan","5","England","7","2","48"
"Croatia","1","Chile","3","3","48"
"Korea Republic","6","Italy","7","4","48"
"Senegal","1","Belgium","3","1","49"
"France","6","Switzerland","8","2","49"
"Colombia","2","Iran","4","3","49"
"Germany","6","Argentina","8","4","49"
"Chile","1","Costa Rica","3","1","50"
"Japan","6","Portugal","8","2","50"
"Belgium","1","Brazil","3","3","50"
"Italy","6","Australia","8","4","50"
"Colombia","1","Denmark","3","1","51"
"France","6","Uruguay","7","2","51"
"Qatar","1","Croatia","3","3","51"
"Italy","5","Portugal","7","4","51"
"Colombia","2","Senegal","4","1","52"
"Denmark","5","Spain","8","2","52"
"Wales","1","Brazil","3","3","52"
"Korea Republic","5","Belgium","7","4","52"
"Colombia","2","Belgium","4","1","53"
"Germany","6","Chile","7","2","53"
"Brazil","1","Iran","3","3","53"
"Netherlands","6","Portugal","8","4","53"
"Italy","1","Denmark","4","1","54"
"Germany","6","Brazil","8","2","54"
"France","1","Argentina","4","3","54"
"Belgium","5","Netherlands","8","4","54"
"Japan","2","Belgium","4","1","55"
"Portugal","6","Germany","8","2","55"
"Brazil","1","Uruguay","3","3","55"
"Colombia","6","France","7","4","55"
"Mexico","1","Denmark","4","1","56"
"Belgium","5","England","8","2","56"
"Brazil","2","France","3","3","56"
"Colombia","6","Spain","7","4","56"
"Portugal","2","Spain","4","1","57"
"Belgium","6","England","8","2","57"
"Jamaica","1","Mexico","4","3","57"
"Brazil","5","France","7","4","57"
"Argentina","1","Brazil","4","1","58"
"Belgium","6","Portugal","8","2","58"
"Germany","1","France","4","3","58"
"Algeria","5","Denmark","8","4","58"
"Italy","2","Brazil","3","1","59"
"Denmark","5","Germany","7","2","59"
"Spain","2","Uruguay","3","3","59"
"Argentina","6","Portugal","7","4","59"
"Colombia","1","Portugal","4","1","60"
"Brazil","6","Belgium","8","2","60"
"France","1","Mexico","4","3","60"
"Spain","5","Netherlands","8","4","60"
"Italy","2","Belgium","4","1","61"
"Switzerland","6","Portugal","8","2","61"
"Poland","1","Netherlands","4","3","61"
"England","6","Uruguay","8","4","61"
"Netherlands","1","Germany","3","1","62"
"Argentina","6","Spain","7","2","62"
"France","1","Brazil","3","3","62"
"Australia","5","England","7","4","62"
"Chile","2","Korea Republic","3","1","63"
"Portugal","5","Brazil","8","2","63"
"France","1","Netherlands","3","3","63"
"Japan","5","Italy","8","4","63"
"Senegal","2","Uruguay","3","1","64"
"Italy","5","Spain","8","2","64"
"Brazil","1","Mexico","4","3","64"
"United States","5","Belgium","8","4","64"
"Qatar","1","Chile","3","1","65"
"Algeria","6","Italy","8","2","65"
"Brazil","1","Germany","4","3","65"
"Denmark","5","Belgium","7","4","65"
"Mexico","2","Belgium","3","1","66"
"Japan","6","France","8","2","66"
"Wales","1","Germany","4","3","66"
"England","5","Colombia","7","4","66"
"Belgium","1","England","4","1","67"
"Italy","5","Argentina","8","2","67"
"Japan","1","Portugal","3","3","67"
"Switzerland","6","Denmark","7","4","67"
"Denmark","1","Mexico","4","1","68"
"Nigeria","6","France","7","2","68"
"Colombia","2","Belgium","4","3","68"
"Netherlands","5","Brazil","8","4","68"
"Colombia","1","England","4","1","69"
"Netherlands","5","Argentina","8","2","69"
"Qatar","2","Germany","4","3","69"
"France","5","Belgium","7","4","69"
"Denmark","2","Brazil","4","1","70"
"Colombia","6","Portugal","7","2","70"
"Italy","1","France","3","3","70"
"Algeria","5","England","7","4","70"
"Denmark","1","Netherlands","3","1","71"
"Iran","6","Australia","7","2","71"
"Brazil","2","Argentina","3","3","71"
"Spain","6","Belgium","8","4","71"
"Qatar","1","France","4","1","72"
"Brazil","6","Belgium","8","2","72"
