"team","group_team","opp_team","group_opp_team","match_num_quarter","simulation"
"Russia","2","Peru","3","3","184"
"South Korea","5","England","8","4","184"
"Iran","1","France","4","1","185"
"Brazil","6","Poland","8","2","185"
"Portugal","1","Peru","3","3","185"
"Switzerland","5","England","7","4","185"
"Iran","2","Peru","3","1","186"
"Sweden","5","Japan","8","2","186"
"Portugal","1","Croatia","3","3","186"
"Germany","5","England","8","4","186"
"Uruguay","1","Peru","3","1","187"
"Brazil","6","England","8","2","187"
"Egypt","2","France","3","3","187"
"Germany","6","Belgium","8","4","187"
"Morocco","2","France","3","1","188"
"Germany","6","Japan","8","2","188"
"Spain","1","Argentina","3","3","188"
"Sweden","6","England","7","4","188"
"Spain","2","Iceland","3","1","189"
"South Korea","5","England","7","2","189"
"Uruguay","1","France","3","3","189"
"Brazil","6","Belgium","8","4","189"
"Portugal","1","France","4","1","190"
"Brazil","6","Poland","8","2","190"
"Spain","2","Croatia","3","3","190"
"Mexico","6","England","7","4","190"
"Iran","1","Iceland","3","1","191"
"Mexico","6","England","8","2","191"
"Uruguay","1","Argentina","3","3","191"
"Germany","6","Colombia","8","4","191"
"Uruguay","1","Croatia","3","1","192"
"Sweden","6","Colombia","7","2","192"
"Spain","2","Argentina","3","3","192"
"Brazil","6","England","8","4","192"
"Spain","1","France","3","1","193"
"Mexico","6","Colombia","7","2","193"
"Russia","1","Argentina","3","3","193"
"Germany","5","Poland","8","4","193"
"Uruguay","1","Argentina","3","1","194"
"Germany","6","Colombia","7","2","194"
"Spain","2","Australia","4","3","194"
"South Korea","6","Japan","8","4","194"
"Uruguay","1","France","4","1","195"
"Brazil","6","Japan","7","2","195"
"Spain","2","Denmark","3","3","195"
"Germany","6","England","8","4","195"
"Spain","1","Nigeria","4","1","196"
"Mexico","5","Poland","7","2","196"
"Portugal","2","France","3","3","196"
"Brazil","6","Belgium","8","4","196"
"Iran","2","Argentina","3","1","197"
"Costa Rica","6","Japan","8","2","197"
"Portugal","1","Iceland","4","3","197"
"Brazil","6","Belgium","8","4","197"
"Uruguay","1","Iceland","4","1","198"
"Germany","6","Belgium","8","2","198"
"Iran","2","Peru","3","3","198"
"South Korea","6","Japan","8","4","198"
"Spain","1","Peru","3","1","199"
"Switzerland","5","Belgium","8","2","199"
"Iran","1","France","3","3","199"
"South Korea","6","England","8","4","199"
"Uruguay","1","France","3","1","200"
"Brazil","6","Poland","8","2","200"
"Iran","1","Argentina","3","3","200"
"Costa Rica","6","England","7","4","200"
"Portugal","1","Peru","3","1","201"
"South Korea","6","Poland","8","2","201"
"Spain","2","Argentina","3","3","201"
"Brazil","6","Colombia","7","4","201"
"Portugal","1","Australia","4","1","202"
"Brazil","6","England","8","2","202"
"Spain","2","Argentina","3","3","202"
"Germany","5","Japan","8","4","202"
"Iran","1","Croatia","3","1","203"
"Sweden","6","England","8","2","203"
"Spain","2","Argentina","3","3","203"
"Mexico","5","Belgium","8","4","203"
"Uruguay","1","Iceland","4","1","204"
"Germany","6","Colombia","8","2","204"
"Spain","2","Argentina","3","3","204"
"Switzerland","5","Poland","8","4","204"
"Uruguay","1","Croatia","3","1","205"
"Brazil","6","England","8","2","205"
"Russia","2","Argentina","3","3","205"
"Switzerland","5","Tunisia","7","4","205"
"Uruguay","1","Croatia","3","1","206"
"South Korea","6","England","7","2","206"
"Portugal","1","Argentina","3","3","206"
"Germany","6","Poland","8","4","206"
"Uruguay","1","Argentina","3","1","207"
"Brazil","6","Belgium","8","2","207"
"Iran","1","Croatia","3","3","207"
"Serbia","5","England","8","4","207"
"Iran","1","France","3","1","208"
"Brazil","6","Belgium","8","2","208"
"Spain","2","Australia","3","3","208"
"Costa Rica","6","Poland","7","4","208"
"Spain","2","Peru","3","1","209"
"Brazil","6","England","8","2","209"
"Portugal","1","Argentina","3","3","209"
"Germany","6","Belgium","8","4","209"
"Portugal","2","Croatia","3","1","210"
"Brazil","6","Belgium","8","2","210"
"Iran","1","Argentina","3","3","210"
"Switzerland","5","Poland","8","4","210"
"Uruguay","1","Iceland","4","1","211"
"Brazil","6","Colombia","8","2","211"
"Iran","2","Argentina","3","3","211"
"Germany","6","England","8","4","211"
"Spain","1","Iceland","4","1","212"
"Switzerland","5","England","8","2","212"
"Egypt","2","Argentina","3","3","212"
"South Korea","6","Senegal","8","4","212"
"Spain","2","Nigeria","4","1","213"
"Brazil","6","Belgium","8","2","213"
"Portugal","2","Croatia","3","3","213"
"Germany","6","England","7","4","213"
"Uruguay","1","France","3","1","214"
"Germany","5","Colombia","8","2","214"
"Saudi Arabia","1","Argentina","3","3","214"
"Brazil","6","England","8","4","214"
"Spain","2","Nigeria","4","1","215"
"Sweden","5","Colombia","7","2","215"
"Iran","1","Argentina","3","3","215"
"Brazil","6","Japan","7","4","215"
"Uruguay","1","Iceland","4","1","216"
"Brazil","6","Poland","8","2","216"
"Saudi Arabia","1","Argentina","3","3","216"
"Germany","5","Japan","7","4","216"
"Uruguay","1","Denmark","3","1","217"
"Brazil","6","England","7","2","217"
"Spain","2","Peru","3","3","217"
"Mexico","6","Japan","7","4","217"
"Uruguay","1","Argentina","3","1","218"
"Germany","5","Belgium","8","2","218"
"Portugal","1","Croatia","3","3","218"
"Mexico","5","Colombia","7","4","218"
"Iran","1","Croatia","3","1","219"
"Mexico","5","Poland","8","2","219"
"Spain","1","Australia","3","3","219"
"Germany","5","Colombia","7","4","219"
"Uruguay","1","France","4","1","220"
"Brazil","6","Belgium","8","2","220"
"Portugal","1","Argentina","3","3","220"
"Germany","5","England","8","4","220"
"Iran","1","Peru","3","1","221"
"Sweden","5","Poland","8","2","221"
"Uruguay","1","Croatia","3","3","221"
"Serbia","5","Colombia","7","4","221"
"Iran","1","Argentina","3","1","222"
"Brazil","6","Japan","8","2","222"
"Portugal","2","Denmark","3","3","222"
"Germany","5","Colombia","7","4","222"
"Uruguay","1","France","3","1","223"
"Mexico","6","Japan","8","2","223"
"Portugal","1","Peru","3","3","223"
"Germany","5","England","7","4","223"
"Uruguay","1","Croatia","3","1","224"
"Brazil","6","England","8","2","224"
"Spain","2","Iceland","4","3","224"
"Germany","5","Belgium","8","4","224"
"Spain","2","Nigeria","4","1","225"
"South Korea","6","Poland","7","2","225"
"Uruguay","1","Argentina","3","3","225"
"Germany","6","Colombia","7","4","225"
"Iran","1","Croatia","3","1","226"
"Germany","6","Belgium","8","2","226"
"Portugal","2","Peru","3","3","226"
"Brazil","6","England","7","4","226"
"Spain","2","Croatia","3","1","227"
"Germany","6","Belgium","8","2","227"
"Uruguay","1","Argentina","3","3","227"
"Mexico","6","Colombia","7","4","227"
"Spain","1","France","3","1","228"
"Brazil","6","Senegal","8","2","228"
"Iran","1","Denmark","3","3","228"
"Germany","5","Belgium","8","4","228"
"Russia","2","Iceland","4","1","229"
"Brazil","6","Colombia","7","2","229"
"Iran","1","Australia","3","3","229"
"Sweden","6","Poland","8","4","229"
"Russia","1","Peru","3","1","230"
"Brazil","6","Japan","7","2","230"
"Spain","1","Croatia","3","3","230"
"Switzerland","5","England","7","4","230"
"Spain","2","Iceland","3","1","231"
"Brazil","6","Belgium","8","2","231"
"Portugal","2","Denmark","3","3","231"
"Switzerland","5","Panama","7","4","231"
"Iran","1","France","4","1","232"
"Mexico","6","England","8","2","232"
"Portugal","1","Australia","3","3","232"
"South Korea","6","Belgium","8","4","232"
"Uruguay","1","Peru","3","1","233"
"Mexico","6","England","7","2","233"
"Iran","1","Croatia","4","3","233"
"Germany","6","Poland","7","4","233"
"Saudi Arabia","1","France","3","1","234"
"Switzerland","5","England","7","2","234"
"Spain","1","Argentina","3","3","234"
"Brazil","6","Belgium","8","4","234"
"Iran","1","France","3","1","235"
"South Korea","6","Senegal","8","2","235"
"Portugal","1","Iceland","4","3","235"
"Germany","5","Japan","7","4","235"
"Iran","2","Croatia","3","1","236"
"Switzerland","5","Japan","8","2","236"
"Saudi Arabia","2","Iceland","3","3","236"
"Mexico","6","Belgium","8","4","236"
"Morocco","1","Peru","3","1","237"
"Brazil","6","Poland","8","2","237"
"Saudi Arabia","1","France","3","3","237"
"Germany","5","England","7","4","237"
"Spain","2","Peru","3","1","238"
"Brazil","6","Colombia","7","2","238"
"Uruguay","1","France","3","3","238"
"Switzerland","5","Belgium","8","4","238"
"Uruguay","1","Argentina","3","1","239"
"Mexico","6","England","7","2","239"
"Russia","1","France","3","3","239"
"Germany","5","Poland","8","4","239"
"Portugal","1","Iceland","4","1","240"
"Costa Rica","6","Colombia","7","2","240"
"Spain","1","Argentina","3","3","240"
"Germany","6","Tunisia","7","4","240"
"Spain","2","France","4","1","241"
"Sweden","6","Poland","7","2","241"
"Portugal","1","Argentina","3","3","241"
"Germany","5","Japan","8","4","241"
"Saudi Arabia","1","Croatia","3","1","242"
"Costa Rica","6","Poland","8","2","242"
"Spain","2","France","3","3","242"
"Switzerland","5","Colombia","8","4","242"
"Uruguay","1","Argentina","3","1","243"
"Germany","6","Poland","8","2","243"
"Portugal","1","France","4","3","243"
"Switzerland","5","Panama","7","4","243"
"Spain","2","France","3","1","244"
"Brazil","6","Belgium","8","2","244"
"Portugal","2","Argentina","3","3","244"
"Serbia","6","England","8","4","244"
"Uruguay","1","France","3","1","245"
"Brazil","6","England","8","2","245"
"Portugal","2","Argentina","3","3","245"
"Switzerland","5","Belgium","8","4","245"
"Saudi Arabia","1","Croatia","3","1","246"
"Brazil","6","Belgium","8","2","246"
"Russia","1","Argentina","3","3","246"
"Switzerland","5","Colombia","7","4","246"
"Portugal","1","Croatia","3","1","247"
"Switzerland","5","Poland","8","2","247"
"Egypt","2","France","3","3","247"
"Serbia","6","Belgium","8","4","247"
"Uruguay","1","Croatia","3","1","248"
"Mexico","6","England","7","2","248"
"Spain","2","Argentina","3","3","248"
"Brazil","6","Belgium","8","4","248"
"Portugal","1","France","3","1","249"
"Brazil","6","Colombia","7","2","249"
"Iran","2","Denmark","3","3","249"
"Switzerland","5","Poland","8","4","249"
"Uruguay","1","France","3","1","250"
"Brazil","6","Colombia","7","2","250"
"Portugal","1","Argentina","3","3","250"
"Sweden","5","Poland","8","4","250"
"Iran","1","France","4","1","251"
"Germany","5","Japan","8","2","251"
"Spain","2","Argentina","3","3","251"
"South Korea","6","Poland","8","4","251"
"Uruguay","1","Croatia","3","1","252"
"South Korea","6","Colombia","7","2","252"
"Spain","2","Argentina","3","3","252"
"Germany","5","Poland","8","4","252"
"Spain","1","France","4","1","253"
"Brazil","6","England","8","2","253"
"Portugal","2","Australia","3","3","253"
"Costa Rica","6","Belgium","8","4","253"
"Portugal","1","Croatia","3","1","254"
"Costa Rica","6","England","8","2","254"
"Spain","2","Argentina","3","3","254"
"Brazil","6","Belgium","8","4","254"
"Uruguay","1","Nigeria","4","1","255"
"Brazil","6","England","8","2","255"
"Spain","2","Argentina","3","3","255"
"Costa Rica","6","Colombia","8","4","255"
"Portugal","2","Croatia","3","1","256"
"Brazil","6","England","8","2","256"
"Iran","1","Argentina","3","3","256"
"Germany","6","Panama","7","4","256"
"Uruguay","1","Argentina","3","1","257"
"Costa Rica","6","Poland","8","2","257"
"Russia","1","Australia","4","3","257"
"South Korea","6","Colombia","7","4","257"
"Russia","1","Peru","3","1","258"
"Brazil","6","Belgium","8","2","258"
"Saudi Arabia","2","France","3","3","258"
"Germany","5","England","7","4","258"
"Iran","1","Peru","3","1","259"
"Sweden","6","England","8","2","259"
"Spain","2","Argentina","3","3","259"
"Germany","5","Japan","8","4","259"
"Egypt","2","France","4","1","260"
"Germany","5","England","8","2","260"
"Spain","1","Argentina","3","3","260"
"Brazil","6","Colombia","8","4","260"
"Russia","1","France","4","1","261"
"Germany","6","England","8","2","261"
"Uruguay","1","Argentina","3","3","261"
"Sweden","5","Japan","8","4","261"
"Iran","1","France","3","1","262"
"Germany","6","Japan","8","2","262"
"Russia","1","Argentina","3","3","262"
"Brazil","6","Colombia","7","4","262"
"Portugal","1","Iceland","4","1","263"
"Brazil","6","Japan","8","2","263"
"Spain","2","Argentina","3","3","263"
"Mexico","6","Poland","8","4","263"
"Uruguay","1","Croatia","4","1","264"
"South Korea","6","Panama","8","2","264"
"Iran","1","Argentina","3","3","264"
"Costa Rica","6","Tunisia","7","4","264"
"Iran","1","Argentina","3","1","265"
"Germany","6","England","8","2","265"
"Spain","2","Croatia","3","3","265"
"Costa Rica","6","Belgium","8","4","265"
"Portugal","2","France","3","1","266"
"Mexico","6","Colombia","8","2","266"
"Uruguay","1","Croatia","3","3","266"
"Germany","6","Tunisia","7","4","266"
"Iran","1","Iceland","3","1","267"
"Switzerland","5","Japan","8","2","267"
"Morocco","1","Argentina","3","3","267"
"Mexico","6","Colombia","7","4","267"
"Portugal","1","Argentina","3","1","268"
"Costa Rica","6","Senegal","8","2","268"
"Spain","2","Australia","4","3","268"
"Brazil","6","Colombia","8","4","268"
"Uruguay","1","Croatia","3","1","269"
"Brazil","6","Poland","8","2","269"
"Russia","1","Argentina","3","3","269"
"Germany","6","Colombia","7","4","269"
"Uruguay","1","Argentina","3","1","270"
"Brazil","6","England","8","2","270"
"Russia","2","Peru","3","3","270"
"Germany","6","Colombia","7","4","270"
"Iran","1","Croatia","3","1","271"
"South Korea","6","Colombia","7","2","271"
"Spain","2","France","3","3","271"
"Sweden","5","England","8","4","271"
"Iran","2","Nigeria","3","1","272"
"Brazil","6","Japan","8","2","272"
"Saudi Arabia","2","Argentina","3","3","272"
"Germany","5","Poland","8","4","272"
"Spain","2","Croatia","3","1","273"
"Brazil","6","Senegal","8","2","273"
"Egypt","2","Argentina","3","3","273"
"Serbia","5","Colombia","7","4","273"
"Portugal","1","Croatia","3","1","274"
"Brazil","6","England","8","2","274"
"Spain","2","Peru","3","3","274"
"Mexico","6","Japan","8","4","274"
"Portugal","1","Iceland","4","1","275"
"Mexico","5","Senegal","8","2","275"
"Spain","2","France","3","3","275"
"Germany","6","Colombia","7","4","275"
"Uruguay","1","France","3","1","276"
"Brazil","6","England","7","2","276"
"Egypt","2","Argentina","3","3","276"
"Mexico","5","Panama","8","4","276"
"Morocco","1","France","3","1","277"
"Germany","6","Colombia","7","2","277"
"Spain","2","Argentina","3","3","277"
"Switzerland","5","Japan","8","4","277"
"Russia","1","Argentina","3","1","278"
"South Korea","6","Belgium","8","2","278"
"Saudi Arabia","2","Croatia","4","3","278"
"Switzerland","5","Panama","7","4","278"
"Portugal","1","France","3","1","279"
"Mexico","6","England","7","2","279"
"Iran","1","Nigeria","4","3","279"
"Costa Rica","6","Belgium","8","4","279"
"Uruguay","1","Croatia","3","1","280"
"Germany","6","Colombia","7","2","280"
"Spain","2","Argentina","3","3","280"
"Mexico","5","Senegal","8","4","280"
"Uruguay","1","Argentina","3","1","281"
"Germany","5","Belgium","8","2","281"
"Iran","1","Denmark","3","3","281"
"South Korea","6","England","7","4","281"
"Iran","1","France","3","1","282"
"South Korea","6","England","8","2","282"
"Egypt","2","Peru","3","3","282"
"Germany","5","Belgium","8","4","282"
"Iran","1","Iceland","4","1","283"
"Germany","5","Colombia","7","2","283"
"Saudi Arabia","1","Argentina","3","3","283"
"Brazil","6","Japan","7","4","283"
"Egypt","2","Croatia","3","1","284"
"Brazil","6","Poland","8","2","284"
"Portugal","1","Argentina","3","3","284"
"Germany","6","Colombia","7","4","284"
"Uruguay","1","Iceland","4","1","285"
"Brazil","6","Colombia","7","2","285"
"Spain","2","Croatia","3","3","285"
"Germany","6","Belgium","8","4","285"
"Portugal","1","Peru","3","1","286"
"Brazil","6","Panama","7","2","286"
"Spain","2","Argentina","3","3","286"
"Costa Rica","6","Poland","8","4","286"
"Portugal","1","Iceland","4","1","287"
"Brazil","6","England","8","2","287"
"Spain","2","France","3","3","287"
"Mexico","6","Belgium","8","4","287"
"Russia","1","Croatia","4","1","288"
"Mexico","5","Japan","8","2","288"
"Spain","1","Denmark","4","3","288"
"Brazil","6","Poland","8","4","288"
"Portugal","1","France","3","1","289"
"Brazil","6","England","8","2","289"
"Uruguay","1","Croatia","4","3","289"
"Costa Rica","6","Belgium","8","4","289"
"Iran","1","Peru","3","1","290"
"Costa Rica","6","Belgium","8","2","290"
"Spain","2","Argentina","3","3","290"
"Brazil","6","Colombia","7","4","290"
"Uruguay","1","Argentina","3","1","291"
"South Korea","6","Belgium","8","2","291"
"Spain","2","France","4","3","291"
"Brazil","6","England","8","4","291"
"Iran","2","Iceland","3","1","292"
"Mexico","6","Belgium","8","2","292"
"Uruguay","1","France","3","3","292"
"Costa Rica","6","England","8","4","292"
"Egypt","2","Croatia","3","1","293"
"Brazil","6","Panama","7","2","293"
"Saudi Arabia","1","Australia","3","3","293"
"Costa Rica","6","Poland","8","4","293"
"Portugal","2","Iceland","3","1","294"
"Brazil","6","England","8","2","294"
"Spain","1","Argentina","3","3","294"
"Switzerland","5","Belgium","8","4","294"
"Uruguay","1","Peru","3","1","295"
"Brazil","6","Poland","8","2","295"
"Iran","2","France","3","3","295"
"South Korea","6","Colombia","7","4","295"
"Uruguay","1","France","3","1","296"
"Sweden","6","Colombia","7","2","296"
"Portugal","2","Croatia","3","3","296"
"South Korea","5","Poland","8","4","296"
"Uruguay","1","Croatia","3","1","297"
"Brazil","6","Poland","8","2","297"
"Spain","2","France","3","3","297"
"South Korea","6","England","8","4","297"
"Uruguay","1","France","3","1","298"
"Brazil","6","Poland","8","2","298"
"Portugal","1","Peru","3","3","298"
"Germany","5","Belgium","8","4","298"
"Uruguay","1","France","3","1","299"
"Mexico","6","Japan","7","2","299"
"Egypt","2","Croatia","3","3","299"
"Germany","6","Senegal","8","4","299"
"Portugal","1","France","4","1","300"
"South Korea","6","Japan","7","2","300"
"Uruguay","1","Argentina","3","3","300"
"Sweden","6","Belgium","8","4","300"
"Spain","1","Peru","3","1","301"
"Germany","6","Poland","8","2","301"
"Portugal","1","Australia","3","3","301"
"Mexico","5","Belgium","8","4","301"
"Uruguay","1","Croatia","3","1","302"
"Brazil","6","Belgium","8","2","302"
"Iran","1","Australia","3","3","302"
"Costa Rica","6","Japan","8","4","302"
"Spain","1","Australia","4","1","303"
"South Korea","6","Japan","7","2","303"
"Iran","1","France","3","3","303"
"Mexico","5","England","7","4","303"
"Uruguay","1","Iceland","4","1","304"
"Switzerland","5","England","8","2","304"
"Spain","2","Peru","3","3","304"
"South Korea","6","Senegal","8","4","304"
"Iran","2","France","3","1","305"
"Brazil","6","Japan","7","2","305"
"Spain","2","Argentina","3","3","305"
"Costa Rica","6","Poland","8","4","305"
"Spain","1","Peru","3","1","306"
"Germany","6","Senegal","7","2","306"
"Morocco","1","Australia","3","3","306"
"Costa Rica","6","Colombia","7","4","306"
"Russia","1","Denmark","4","1","307"
"Germany","6","Japan","8","2","307"
"Spain","2","France","3","3","307"
"South Korea","5","Poland","8","4","307"
"Uruguay","1","Croatia","3","1","308"
"Brazil","6","Japan","8","2","308"
"Russia","2","Argentina","3","3","308"
"Costa Rica","6","England","8","4","308"
"Portugal","1","France","3","1","309"
"South Korea","6","Japan","8","2","309"
"Saudi Arabia","1","Croatia","3","3","309"
"Germany","5","Belgium","8","4","309"
"Portugal","1","Iceland","4","1","310"
"Brazil","6","Japan","8","2","310"
"Spain","2","Argentina","3","3","310"
"Germany","5","Colombia","7","4","310"
"Egypt","2","Australia","4","1","311"
"South Korea","6","Colombia","8","2","311"
"Spain","2","Iceland","4","3","311"
"Germany","6","England","8","4","311"
"Russia","1","France","3","1","312"
"South Korea","6","Japan","8","2","312"
"Spain","1","Croatia","3","3","312"
"Mexico","5","England","8","4","312"
"Portugal","1","Nigeria","3","1","313"
"Brazil","6","England","8","2","313"
"Spain","1","France","3","3","313"
"Germany","5","Colombia","8","4","313"
"Portugal","1","France","4","1","314"
"Brazil","6","England","8","2","314"
"Spain","2","Argentina","3","3","314"
"Switzerland","5","Belgium","8","4","314"
"Iran","1","Nigeria","4","1","315"
"Germany","5","Japan","8","2","315"
"Portugal","1","Argentina","3","3","315"
"South Korea","6","Colombia","8","4","315"
"Iran","1","France","3","1","316"
"Sweden","6","Senegal","8","2","316"
"Spain","2","Argentina","3","3","316"
"Germany","5","England","7","4","316"
"Portugal","1","France","4","1","317"
"Mexico","5","Belgium","8","2","317"
"Spain","1","Peru","3","3","317"
"Germany","6","Poland","8","4","317"
"Russia","1","France","3","1","318"
"Brazil","6","Japan","8","2","318"
"Egypt","2","Argentina","3","3","318"
"Costa Rica","6","Colombia","7","4","318"
"Spain","1","Argentina","3","1","319"
"Brazil","6","Colombia","8","2","319"
"Iran","2","Croatia","3","3","319"
"Mexico","5","England","8","4","319"
"Spain","1","Nigeria","3","1","320"
"Switzerland","5","England","7","2","320"
"Saudi Arabia","1","France","3","3","320"
"Brazil","6","Panama","7","4","320"
"Portugal","1","France","3","1","321"
"Brazil","6","England","7","2","321"
"Spain","2","Peru","3","3","321"
"Costa Rica","6","Belgium","8","4","321"
"Russia","2","France","4","1","322"
"Sweden","6","Japan","8","2","322"
"Uruguay","1","Croatia","3","3","322"
"Brazil","6","England","8","4","322"
"Iran","1","Croatia","3","1","323"
"Brazil","6","England","7","2","323"
"Saudi Arabia","2","Argentina","3","3","323"
"Switzerland","5","Poland","8","4","323"
"Russia","1","Argentina","3","1","324"
"Germany","6","England","8","2","324"
"Saudi Arabia","2","Croatia","3","3","324"
"South Korea","5","Belgium","8","4","324"
"Uruguay","1","France","4","1","325"
"Brazil","6","Japan","8","2","325"
"Egypt","2","Iceland","3","3","325"
"Switzerland","5","Belgium","8","4","325"
"Iran","1","France","4","1","326"
"Brazil","6","Japan","8","2","326"
"Portugal","2","Croatia","3","3","326"
"Costa Rica","6","England","7","4","326"
"Uruguay","1","France","3","1","327"
"Brazil","6","Belgium","8","2","327"
"Spain","2","Denmark","3","3","327"
"Sweden","5","England","7","4","327"
"Portugal","1","France","4","1","328"
"Germany","5","Belgium","8","2","328"
"Iran","1","Argentina","3","3","328"
"Brazil","6","England","8","4","328"
"Uruguay","1","France","4","1","329"
"Costa Rica","6","Belgium","8","2","329"
"Spain","2","Peru","3","3","329"
"Switzerland","5","England","7","4","329"
"Uruguay","1","Argentina","3","1","330"
"Brazil","6","England","7","2","330"
"Russia","2","Croatia","4","3","330"
"Germany","5","Belgium","8","4","330"
"Portugal","1","France","4","1","331"
"Brazil","6","England","7","2","331"
"Saudi Arabia","1","Argentina","3","3","331"
"Switzerland","5","Belgium","8","4","331"
"Russia","1","Croatia","3","1","332"
"South Korea","6","Poland","8","2","332"
"Spain","1","Argentina","3","3","332"
"Germany","5","England","7","4","332"
"Spain","1","Croatia","3","1","333"
"Serbia","6","England","7","2","333"
"Egypt","2","Argentina","3","3","333"
"Brazil","6","Senegal","8","4","333"
"Russia","1","France","3","1","334"
"Brazil","6","England","8","2","334"
"Spain","2","Argentina","3","3","334"
"Germany","6","Belgium","8","4","334"
"Iran","1","Argentina","3","1","335"
"Brazil","6","Belgium","8","2","335"
"Portugal","1","France","3","3","335"
"Mexico","5","Senegal","8","4","335"
"Spain","2","Argentina","3","1","336"
"Brazil","6","England","8","2","336"
"Uruguay","1","France","3","3","336"
"Switzerland","5","Poland","8","4","336"
"Spain","1","Croatia","4","1","337"
"Brazil","6","England","8","2","337"
"Portugal","1","Argentina","3","3","337"
"South Korea","6","Colombia","7","4","337"
"Iran","1","France","4","1","338"
"Brazil","6","Colombia","7","2","338"
"Spain","2","Peru","3","3","338"
"Switzerland","5","Belgium","8","4","338"
"Morocco","1","France","4","1","339"
"Brazil","6","Panama","7","2","339"
"Spain","2","Peru","3","3","339"
"South Korea","6","Poland","8","4","339"
"Iran","1","France","4","1","340"
"South Korea","6","Japan","8","2","340"
"Russia","2","Argentina","3","3","340"
"Germany","6","Poland","7","4","340"
"Spain","2","France","4","1","341"
"Costa Rica","6","Colombia","8","2","341"
"Iran","2","Argentina","3","3","341"
"Germany","6","England","8","4","341"
"Spain","2","France","4","1","342"
"South Korea","6","Japan","8","2","342"
"Egypt","2","Croatia","4","3","342"
"Brazil","6","England","7","4","342"
"Uruguay","1","France","3","1","343"
"South Korea","6","Colombia","8","2","343"
"Spain","2","Argentina","3","3","343"
"Germany","6","Japan","7","4","343"
"Iran","1","Nigeria","4","1","344"
"Mexico","6","Japan","8","2","344"
"Spain","2","Croatia","3","3","344"
"Germany","6","Colombia","8","4","344"
"Spain","2","France","3","1","345"
"Brazil","6","Tunisia","7","2","345"
"Portugal","1","Argentina","3","3","345"
"Germany","6","Colombia","8","4","345"
"Portugal","2","Croatia","3","1","346"
"South Korea","6","Japan","8","2","346"
"Spain","1","France","3","3","346"
"Brazil","6","Belgium","8","4","346"
"Egypt","2","Croatia","3","1","347"
"Mexico","6","England","8","2","347"
"Iran","1","Peru","3","3","347"
"Switzerland","5","Colombia","7","4","347"
"Uruguay","1","Croatia","3","1","348"
"South Korea","6","Japan","8","2","348"
"Spain","2","Argentina","3","3","348"
"Brazil","6","England","7","4","348"
"Russia","1","Nigeria","4","1","349"
"Brazil","6","England","8","2","349"
"Egypt","2","Argentina","3","3","349"
"South Korea","6","Colombia","7","4","349"
"Uruguay","1","Argentina","3","1","350"
"South Korea","5","Belgium","8","2","350"
"Spain","2","Iceland","3","3","350"
"Germany","6","Colombia","7","4","350"
"Portugal","1","Nigeria","3","1","351"
"South Korea","6","Belgium","8","2","351"
"Spain","2","Argentina","3","3","351"
"Germany","6","Senegal","8","4","351"
"Russia","2","Nigeria","4","1","352"
"Brazil","6","Colombia","7","2","352"
"Uruguay","1","Denmark","3","3","352"
"Germany","6","Belgium","8","4","352"
"Portugal","2","Peru","3","1","353"
"Brazil","6","England","8","2","353"
"Spain","2","Argentina","3","3","353"
"Germany","6","Belgium","8","4","353"
"Russia","1","Nigeria","3","1","354"
"Germany","6","Poland","7","2","354"
"Spain","2","Croatia","3","3","354"
"Switzerland","5","Belgium","8","4","354"
"Iran","1","France","3","1","355"
"Brazil","6","Poland","8","2","355"
"Portugal","2","Iceland","4","3","355"
"South Korea","5","Japan","8","4","355"
"Spain","2","Croatia","3","1","356"
"Brazil","6","Senegal","7","2","356"
"Portugal","2","Argentina","3","3","356"
"Mexico","5","Japan","7","4","356"
"Uruguay","1","France","3","1","357"
"Brazil","6","England","8","2","357"
"Russia","1","Australia","3","3","357"
"South Korea","6","Japan","7","4","357"
"Spain","1","Croatia","3","1","358"
"Brazil","6","England","8","2","358"
"Portugal","1","Argentina","3","3","358"
"Costa Rica","6","Poland","8","4","358"
"Portugal","1","Croatia","3","1","359"
"Brazil","6","Belgium","8","2","359"
"Egypt","2","France","3","3","359"
"Costa Rica","6","Colombia","7","4","359"
"Iran","1","France","3","1","360"
"Switzerland","5","England","7","2","360"
"Spain","2","Argentina","3","3","360"
"Germany","6","Japan","8","4","360"
"Spain","2","Argentina","3","1","361"
"Brazil","6","Belgium","8","2","361"
"Uruguay","1","Croatia","3","3","361"
"Germany","5","Colombia","7","4","361"
"Russia","1","Croatia","3","1","362"
"Costa Rica","6","England","8","2","362"
"Portugal","2","Argentina","3","3","362"
"Germany","5","Japan","7","4","362"
"Iran","1","France","3","1","363"
"Brazil","6","England","8","2","363"
"Portugal","1","Argentina","3","3","363"
"Germany","5","Senegal","7","4","363"
"Uruguay","1","Argentina","3","1","364"
"South Korea","6","Japan","8","2","364"
"Spain","2","Nigeria","4","3","364"
"Costa Rica","6","Belgium","8","4","364"
"Spain","1","Croatia","3","1","365"
"Switzerland","5","Belgium","8","2","365"
"Portugal","1","Peru","3","3","365"
"Brazil","6","England","7","4","365"
"Portugal","1","Peru","3","1","366"
"Brazil","6","Colombia","7","2","366"
"Spain","1","Argentina","3","3","366"
"Germany","5","Belgium","8","4","366"
"Spain","1","France","4","1","367"
"Mexico","5","England","8","2","367"
"Egypt","2","Argentina","3","3","367"
"Germany","6","Colombia","7","4","367"
"Portugal","1","Iceland","3","1","368"
