"team","group_team","opp_team","group_opp_team","match_num_semi","simulation"
"Iceland","1","Serbia","5","1","75"
"Australia","2","Germany","6","2","75"
"France","1","England","6","1","76"
"Spain","2","Switzerland","5","2","76"
"Spain","1","Brazil","6","1","77"
"Portugal","2","Germany","5","2","77"
"France","2","Mexico","5","1","78"
"Argentina","1","England","6","2","78"
"Spain","2","Mexico","6","1","79"
"Croatia","1","England","8","2","79"
"France","1","Germany","8","1","80"
"Australia","2","Switzerland","5","2","80"
"Spain","2","Germany","8","1","81"
"Denmark","1","Serbia","5","2","81"
"Uruguay","1","Brazil","6","1","82"
"Spain","2","England","8","2","82"
"France","1","South Korea","6","1","83"
"Uruguay","1","Mexico","6","2","83"
"Argentina","1","Colombia","5","1","84"
"Peru","3","Costa Rica","8","2","84"
"Uruguay","1","Brazil","8","1","85"
"Iceland","2","Colombia","6","2","85"
"Croatia","1","Poland","8","1","86"
"Argentina","1","Mexico","5","2","86"
"France","1","Brazil","8","1","87"
"Argentina","1","Costa Rica","7","2","87"
"Argentina","1","Mexico","6","1","88"
"Iran","1","Costa Rica","6","2","88"
"Croatia","1","England","6","1","89"
"Argentina","2","Mexico","6","2","89"
"Saudi Arabia","2","Germany","6","1","90"
"Portugal","1","Switzerland","5","2","90"
"Croatia","1","Brazil","8","1","91"
"Portugal","1","Senegal","8","2","91"
"France","1","South Korea","6","1","92"
"Spain","2","Japan","8","2","92"
"France","1","Belgium","5","1","93"
"Peru","1","Germany","7","2","93"
"Uruguay","1","Poland","8","1","94"
"Iran","1","Switzerland","5","2","94"
"Croatia","1","Colombia","7","1","95"
"Uruguay","1","England","5","2","95"
"Uruguay","1","Brazil","6","1","96"
"Morocco","3","Japan","6","2","96"
"Portugal","1","Switzerland","7","1","97"
"Nigeria","4","Brazil","8","2","97"
"Uruguay","1","Colombia","6","1","98"
"Argentina","1","Belgium","6","2","98"
"Peru","1","Brazil","6","1","99"
"Argentina","2","Poland","5","2","99"
"Croatia","1","Colombia","8","1","100"
"Uruguay","1","England","5","2","100"
"Spain","2","Brazil","8","1","101"
"Argentina","2","Germany","8","2","101"
"Croatia","1","Colombia","8","1","102"
"Uruguay","1","England","8","2","102"
"Iran","1","Belgium","6","1","103"
"Spain","1","Germany","5","2","103"
"Portugal","1","Brazil","7","1","104"
"Argentina","1","Colombia","5","2","104"
"Egypt","4","Poland","7","1","105"
"Croatia","2","Colombia","6","2","105"
"Iran","1","Brazil","7","1","106"
"Portugal","1","Germany","8","2","106"
"Croatia","2","Brazil","8","1","107"
"Uruguay","1","Mexico","7","2","107"
"France","1","South Korea","6","1","108"
"Uruguay","1","England","7","2","108"
"Portugal","1","England","8","1","109"
"Spain","2","Japan","6","2","109"
"Peru","1","Germany","6","1","110"
"France","2","Japan","7","2","110"
"France","2","Brazil","8","1","111"
"Argentina","1","Colombia","6","2","111"
"France","1","Serbia","5","1","112"
"Argentina","1","Colombia","6","2","112"
"Croatia","2","Japan","8","1","113"
"Uruguay","1","Colombia","6","2","113"
"Uruguay","1","Germany","6","1","114"
"Argentina","2","Mexico","6","2","114"
"Portugal","1","Mexico","5","1","115"
"Spain","1","Colombia","6","2","115"
"France","2","Colombia","7","1","116"
"Denmark","1","Germany","8","2","116"
"France","1","Belgium","6","1","117"
"Uruguay","1","Costa Rica","7","2","117"
"Uruguay","1","Japan","8","1","118"
"Argentina","1","Germany","5","2","118"
"Uruguay","1","England","7","1","119"
"Peru","2","Brazil","7","2","119"
"France","1","England","8","1","120"
"Australia","2","Germany","6","2","120"
"Uruguay","1","Brazil","8","1","121"
"Argentina","1","Germany","5","2","121"
"Argentina","2","Brazil","8","1","122"
"France","2","Germany","6","2","122"
"France","2","Belgium","6","1","123"
